3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780509 ",2020-04-19 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M TECHNOLOGIES (SG),2020-04-27 16:48:12.590,2020-04-27 16:48:12.590,"FHP ","E763968 ",2020-04-16 00:00:00.000,2020-04-27 00:00:00.000,"TK57592   ",3MA160 DIA PAD COND            4.25 IN,3M Cottage Grove,60980034296,"FHP ",D
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780203 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780198 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780193 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780165 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780164 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780163 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780162 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780159 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780158 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780157 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780154 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780152 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A780146 ",2020-04-16 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779959 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779942 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779937 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779931 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M JAPAN LTD.,2020-04-27 19:51:10.517,2020-04-27 19:51:10.517,"FHP ","E764708 ",2020-04-20 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779930 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779929 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779925 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779924 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
3M JAPAN LTD.,2020-04-27 19:51:10.517,2020-04-27 19:51:10.517,"FHP ","E764711 ",2020-04-20 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 19:51:10.517,2020-04-27 19:51:10.517,"FHP ","E764710 ",2020-04-20 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 19:51:10.517,2020-04-27 19:51:10.517,"FHP ","E764709 ",2020-04-20 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 19:51:10.517,2020-04-27 19:51:10.517,"FHP ","E764706 ",2020-04-20 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M FRANCE - EDC,2020-04-27 18:10:15.787,2020-04-27 18:10:59.137,"FHP ","A779923 ",2020-04-15 00:00:00.000,NULL,"TK07951   ",3MA2800 DIA PAD COND           4.25 IN,3M Cottage Grove,60020015354,"FHP ",G
